"PT_IDX","PT_NAME","PT_CATEGORY","PT_IMAGE","PT_CONTENT","PT_WRITER","PT_HIDDEN"
71,"케틀벨 레터럴 런지","하체","","","",0
72,"맨몸 레터럴 런지","하체","","","",0
73,"원레그 익스텐션","하체","","","",0
74,"원레그 컬","하체","","","",0
75,"원레그 프레스","하체","","","",0
76,"수평 레그 프레스","하체","","","",0
77,"수평 원레그 프레스","하체","","","",0
78,"시티드 원레그 컬","하체","","","",0
79,"노르딕 햄스트링 컬","하체","","","",0
80,"바벨 스모 스쿼트","하체","","","",0
81,"케틀벨 스모 스쿼트","하체","","","",0
82,"스모 에어 스쿼트","하체","","","",0
83,"피스톨 스쿼트","하체","","","",0
84,"덩키 킥","하체","","","",0
85,"케이블 덩키 킥","하체","","","",0
86,"데피싯 데드리프트","하체","","","",0
87,"런지 트위스트","하체","","","",0
88,"케틀벨 런지 트위스트","하체","","","",0
89,"케이블 풀 스루","하체","","","",0
90,"몬스터 글루트 머신","하체","","","",0
91,"오버헤드 프레스","어깨","","","",0
92,"스미스머신 오버헤드 프레스","어깨","","","",0
93,"스미스머신 슈러그","어깨","","","",0
94,"덤벨 숄더 프레스","어깨","","","",0
95,"덤벨 레터럴 레이즈","어깨","","","",0
96,"벤트오버 덤벨 레터럴 레이즈","어깨","","","",0
97,"아놀드 덤벨 프레스","어깨","","","",0
98,"숄더 프레스 머신","어깨","","","",0
99,"비하인드 넥 프레스","어깨","","","",0
100,"덤벨 프론트 레이즈","어깨","","","",0
101,"덤벨 슈러그","어깨","","","",0
102,"바벨 슈러그","어깨","","","",0
